# dbox2d conformance trace v1 kind=function name=collide_chain_segment_and_capsule ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 1 3f9d70bc bfa2f2c6 bf384fde bf31aa6c beac99d7 3d8d69ee 3e34fb66 3d48f721 3d877876 3fa3b028 bf964249 3f7ed6b9 3dc2d911 0 0 0 0 0 0 0 | bf31aa6c 3f384fde 00000000 2 3fbb08d7 bf8f54fb 3e6cc0da 3e1cee5b 3e3ac57a 3d5da9cc bdcd4aae 1 3f88373b bfa27fe8 be29cc08 3b65bb40 be5bc768 bdc3d9f6 3e70d965 256 0 0 0 0 0 0 0
case 1 bac49ba6 00000000 ba03126f 00000000 3a03126f 00000000 3ac49ba6 00000000 2 c0f14962 bfb68b70 3f067f5d bf59d26f 3f2aecc1 3f294791 beb9ed4a be64b8c4 3f00c3c2 c0eccc20 bff214b0 bf6f2bb1 beb6932e 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 1 1 0 0 1 0
case 2 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 3 bfd864b1 3f7f1400 3f800000 00000000 3ea0ac64 bdcb77cb bf07c0e1 3d824539 3e45430a bfbeb697 3f757a66 3f800000 00000000 0 0 0 0 0 0 0 | 00000000 bf800000 00000000 2 c0014b84 3f8d89f4 bea8c95a 3ddfff3f bf07c0e1 3e166608 be5fff3e 1 bf968b7e 3f831c0c 3f03b266 3ce482f0 3ea0ac64 3d85ed8c bd6482f0 256 0 0 0 0 0 0 0
case 3 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 4 bf627bc4 c02bb6d7 bf7ff241 bca7c880 3e3355a8 be86a8df bc53e8d0 3e4071be 3e34bcea bf25dab1 c02900d2 3e8ea255 3f75dd97 0 0 0 0 0 0 0 | bca7c880 3f7ff241 00000000 2 beafd00a c02c9d03 3f0a93bf bc662c59 3e9be558 bd670c56 bd4de2e4 0 bf544ebd c02eb12b 3d62d073 bd3e9513 be39d02f bdb60b2a bdc33012 257 2 0 1 0 1 1 0
case 4 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 5 bfba98f5 bf8b6a97 bea71cea 3f71fae1 bdf24c7b bda9ad99 3e8caaa5 3e2f1db4 3d3c96ad bf43ac04 bf4cb107 3f4d190e 3f1933bb 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 0 1 0 0 0 0
case 5 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 6 40288a50 c11aa875 3f10c045 bf5325ad 3ea2bb50 3f8254ec bf669152 bf4847dd 3f25258a 3f65b5e4 c138e162 bf62eb58 3eed02f8 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 0 1 0 1 1 0
case 6 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 7 4005828c 4030aee2 3f800000 00000000 befd2da7 be278a6a 3eee15d5 3c734390 3d3f01e5 40107eaf 4000aee2 3f800000 00000000 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 0 1 0 1 1 0
case 7 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 8 bf85240b 3f20b744 bde0db5b 3f7e73cd 3ea349ef 3ee76639 be93991d bf08506c 3e4b954a be9dbb38 3f54c99e bebebeb5 3f6d923c 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 0 1 0 0 0 0
case 8 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 9 3f79a6f0 3f87148e bf45555d 3f2314cf 3c9ceffa be22099c 3ded982c 3e78a4e2 3dae692a 40755cc6 409b5cb7 bf71f5c7 3ea73a76 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 1 0 0 1 1 0
case 9 c0f00000 00000000 c0200000 00000000 40200000 00000000 40f00000 00000000 10 c09874b1 c1017dc3 bf7f458b bd9a60de bfbc740e bed14ee6 3f71cd8f 3f58e1d3 00000000 c0aed7ba 40ac8ec8 bf79cb63 be6018f0 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 1 0 0 1 1 0
case 10 c0100000 00000000 bf400000 00000000 3f400000 00000000 40100000 00000000 11 c02079c1 3f0b6f14 3f800000 00000000 bcfd0d75 bd231df6 bcf5480b bd21d232 3d3e05e3 c030846e c086921e 3f800000 00000000 0 0 0 0 0 0 0 | 00000000 00000000 00000000 0 2 0 1 0 1 1 0
