# dbox2d conformance trace v1 kind=function name=collide_circles ref=0aa402e cc=gcc-13.2.0 flags=-O3,-DNDEBUG,-std=gnu17,-ffp-contract=off,-fno-fast-math
cases 256
case 0 bddaf5b6 3da143a8 00000000 3f9d70bc bfa2f2c6 bf384fde bf31aa6c baef6800 bda0f20f 3dfb625e 3f98e297 bfa16f68 3f7ed6b9 3dc2d911 | 00000000 00000000 00000000 0
case 1 3e4fe5a0 3e95772a 3ec83a90 c0f14962 bfb68b70 3f067f5d bf59d26f bec2d786 3b828100 3f05d60c c0edb203 bfaf7fbf bf6f2bb1 beb6932e | 3ef7c106 3f60084a 00000000 1 c0e51e66 bfb3315c 3ec2afc6 3cd68518 3e8939d6 bcec6728 bf2d9293 0
case 2 bcc33188 3e105b22 3e9dccd5 3f7f1400 40006680 3f800000 00000000 3d68dd04 bd352fd2 3dc22beb 3f758c37 40001ca7 3f800000 00000000 | 3e649bb8 bf7989f3 00000000 1 3f8251a8 3ff9641c 3cb1e9e8 bd6d1c7c 3d717184 bd5aa63c be556348 0
case 3 3dc020b4 bdb27565 3e9d03d4 c03ec4fe 3f9dae3c bf4b4f86 bf1b90e6 be15472b bddf10f2 3ec0849a c040fc33 3f9f8685 bf23c039 3f44c735 | 3f7d3596 be16c970 00000000 1 c0407cd5 3f9d530b bcdbeb78 bb366164 3bfebc20 bc8cde6c bed1de90 0
case 4 bdc093e8 be0defe9 3e9fae58 3e9cc738 3e72c5e0 bf136cbb 3f514a06 be1478c3 bd3dbcae 3ed7b74a bec74eb0 3f048f41 3eab500a 3f713ea2 | 00000000 00000000 00000000 0
case 5 3e461d8c 3eb20364 3fb99e34 40b868f2 c0f8ab71 3f0cf934 3f55b015 3e927724 bd86290c 3eec6bd9 41025c1f c0e0a710 bf0f79ff bf5403ea | 00000000 00000000 00000000 0
case 6 bd550678 3d00929c 3eb9b88e 3e323960 3fc0d084 3f800000 00000000 3dbed0b2 3d79705c 3e9379c0 bf0d27e7 3fa87273 3f800000 00000000 | bf76b216 be88c7e1 00000000 1 be50fab6 3fb94294 bec19a0b bd71be07 3eb1d273 3e068106 bd473250 0
case 7 3dd820e4 3defade0 3edc4652 bf896e12 c001bf84 bf743df9 3e9962c5 3dde4c24 3db88d72 3eaa7c6e bf72b816 c031121f 3e54d461 3f7a68dd | 3eb00c6e bf706409 00000000 1 bf8c23d5 c01ae55a bcad70bc bec92eb2 be163e50 3eb16626 be46aebc 0
case 8 be15f660 be0ee4b8 3e4f8fd3 3f233c48 bf8ff6a0 be74dd1f bf7892ba bdd82a7e 3db3909c 3e9505c4 bf83611f 4054c0dc 3d99afa1 bf7f4738 | 00000000 00000000 00000000 0
case 9 be34856a 3d50f1a0 3e994b33 3fbee780 c105bacc 3f576aa6 3f0a513d 3ecb9b98 be3b2d76 00000000 41678a92 c1411b90 bf5e7e7b befd3cf8 | 00000000 00000000 00000000 0
case 10 bd78cd24 3d690d04 3e993acc c03729ee 3fdaecb8 3f800000 00000000 bdf372b4 3dabeef2 3e8ff73a 3f927a08 bf576ff0 3f800000 00000000 | 00000000 00000000 00000000 0
case 11 3d28cfb8 3d4cd000 3edd9ad6 bee40dc8 be7019e0 bf77ec89 be7f2d5c be154991 3df81458 3e6534fd c04815d7 406bf207 3f5483c5 3f0ebc58 | 00000000 00000000 00000000 0
case 12 bcb2eb00 bde395c8 3de2c62c bf93c2a8 3e42ad80 bcdd9d47 bf7fe805 3d76f6bc 3dd208d8 3e9ae950 bf7de4f4 3d0db7a4 3f3b3ab3 3f2e96b1 | 3f77c6bb be80bb2c 00000000 1 bf9df65a 3e53ec03 bda33b1f 3c89f41b be781f00 3e307e1a be219ecc 0
case 13 3eed6bda bef227e4 3fa0b482 40a45ec8 bf468590 bf5e46aa befe00bd 3db27968 3e73bde8 3fa92c12 40b8752d bf97cba9 3ed45a6c bf68f174 | 3f6f9288 beb474ab 00000000 1 40a74565 bf5e77c5 3db9a759 bdbf91aa bf097e3d 3ea23f1a bf7492be 0
case 14 3dd058d4 bd022f6a 3eb9180c c02c6dd9 c0270fce 3f800000 00000000 3cfbab90 3d7b8060 3e36fca1 c02f1ca2 c03535aa 3f800000 00000000 | bf297505 bf3fe2db 00000000 1 c02d6783 c03192a4 bc79a9fc be282d66 3cda8f82 3d68c168 bebd3d3c 0
case 15 bd1b2936 bd97aeca 3eb293fe 401d55bc bf86080c bf7b6099 be41b7eb 3e17ad96 3d39e974 3e127e58 401ca385 bfa2cc3a 3ec4f14b bf6c4dba | 3e1ac2a2 bf7d0f35 00000000 1 4021e33c bfa3f324 3d91affb be6f58c2 3da7f6db bc137520 bd8111d8 0
case 16 bdc1071c bb271b00 00000000 bef667ec bf97e8b0 3f79297c 3e6b17a9 3c4eee70 3c928460 3e754c1e bee52e4f bf95c9dd 3f7f4ac5 bd9833dd | 3f6c7009 3ec44c5a 00000000 1 bf1d19be bf9d3059 be07971f bd28f52e be2a0a59 bd6ccf8e bdb6ffd4 0
case 17 bef05be1 be7a05f4 3f9f9c7f c1179eef c0ce441c 3f19e5d4 bf4c938c 3ed407a8 3eebafd8 3f020204 c115a4c7 c0cda9db 3c43db16 bf7ffb52 | 3f5d783a bf00670b 00000000 1 c1119d13 c0d6c7a4 3ec03b78 be883882 3e80f678 be91dc92 bf05bdca 0
case 18 bd32d300 3c8f1120 3dca1dfb 402e05dc bfc1c684 3f800000 00000000 bd58ece6 bd450cbe 3e312396 40305109 bfc33040 3f800000 00000000 | 3ea79399 bf71e65a 00000000 1 402b4cbe bfbff335 bd2e47a0 3c69a768 bda08970 3ccf42b4 be432cbd 0
case 19 3d3ee64c 3d923058 3ecf1138 c000b181 3fca7894 bf477852 3f207602 be129ff2 3a870100 3e837da0 c00074d1 3fc5b1c9 bec38b07 bf6c9811 | 3f41e64a 3f272648 00000000 1 bffb9efd 3fd50156 3d38809a 3da88c18 3d29549a 3df4f8c8 bef3a6b6 0
case 20 3ce3be90 3dc303ee 3dc2dfec 3f584cb0 3f5d80bc 3ee033b9 bf662696 3d462328 bd84036f 3e67c903 3f52c13b 3deca9e0 3f7ca817 be24f484 | 00000000 00000000 00000000 0
case 21 bd023108 3ecc0b98 3f6256c5 40c74b0c bfa7db50 3f16fc72 bf4ebc11 bc7ac200 bdf4d9e8 3f2fa25f 40fb4ce1 c04d8170 3f4fc32a bf159197 | 00000000 00000000 00000000 0
case 22 3d5b0684 3e013702 3e940542 401128a4 bfa44a48 3f800000 00000000 3d1aac68 3e111ff0 3e21f077 403ece04 bfc1fc21 3f800000 00000000 | 00000000 00000000 00000000 0
case 23 3ad50200 3d978862 3ed6f8c8 beb7b570 3f0e9320 3f724d2b bea53d4d 3d0b55e4 be0a28ae 3e6b440a bf1d3194 3fa18eb7 3e55ca33 bf7a5bc7 | 00000000 00000000 00000000 0
case 24 3d1155f0 3d58bce4 3ed2c0c0 bf6e66dd 3de9b9c0 3f467fba 3f21a924 bdfe4930 be07370f 3e4068b4 c04685a4 c0838c73 bf64d01e bee59d22 | 00000000 00000000 00000000 0
case 25 be4db59c 3d92b928 3f08ba12 3f58f5c0 c073a8e8 be7fe39c bf77e0ca beebefd8 bdecb9d8 00000000 c0e826a4 40dfb786 bf59ac8f bf06bc9f | 00000000 00000000 00000000 0
case 26 bdaf06f8 bc871dd8 3e80749a 400cab9a 3f44f38c 3f800000 00000000 bd190600 3e069174 3e174c62 40de0f3a 3ef77f02 3f800000 00000000 | 00000000 00000000 00000000 0
case 27 3d63fcfc bdea8108 3e8dba36 bfa46848 bf95682a 3d8e35b6 3f7f61cf bd358fd2 bd6976a2 3ed452c2 c0b2f055 3f55bf38 3f4e3c37 bf17aae0 | 00000000 00000000 00000000 0
case 28 bd90fd23 bcaf2af8 3e7ccf2d 3f6362c8 3fa1d2c4 bf7a2cd6 be59325f 3d846d08 3d051c3c 3e238e7a 3f31641c 3fb02047 3f27948c bf418704 | bf785e82 3e782764 00000000 1 3f5066ed 3faadba5 bd97ded9 3d908e0e 3df81687 bd289444 be549ce5 0
case 29 3e667dcc be01dd04 3f337666 3ecaf980 3fe9cbd8 bf79025e be6dab38 3e16dd2c 3ecdb39c 3eeb7bd7 3f5d4bdc 401a6803 3ebd6dce 3f6dd597 | 3ee3c858 3f654525 00000000 1 3ecd0f34 4019f952 3b856d00 3f144d97 beed8884 bbdd6280 be88c981 0
case 30 be086311 3d2e8c94 3eb0917a 4016efae c0376eef 3f800000 00000000 bda50d4a bce05e8c 3eb8b20a 4021ed70 c040bc98 3f800000 00000000 | 3f38ac4f bf314a51 00000000 1 40153973 c03b3efb bcdb1d58 bd7402fc be4b3fcb 3dafb3a2 beca0a54 0
case 31 be092579 bded0441 3e51a5d7 bf85360b 403c5df8 bf000d1a 3f5dac45 bd957d2b 3e10d588 3e1faa73 bf5449b9 4037728b 3ef3f097 bf611389 | 3f43c311 3f24f6de 00000000 1 bf49b596 403d43dc 3e816d01 3c65e450 3d294238 3dba2a2a be3e18e4 0
case 32 3cd32b40 bd6e7d12 00000000 bf642ec8 3ef517ec bee30de4 bf65735d bd656032 3d8b7516 3eceea38 bf6b14cc 3f01390d bf1280ae bf51ef86 | 3f78bd0c 3e7229b0 00000000 1 bf8b64b2 3ee5c76e be4a6a73 bcf507e4 be2ed263 bd655562 be8d4756 0
case 33 beda6fb5 3d6071c0 3f685850 4051caa4 403aaa78 3f78c330 3e71c4b6 bd13d128 3e2ced58 3f295352 404dfc29 4041b3c5 3ee81440 3f6430ba | 3f34b907 3f3550c1 00000000 1 40426dbd 4043aa01 be75ce72 3e0ff88a be38e6c2 3cfb1dd0 bfa45d4a 0
case 34 3dc7ed92 be06fb0e 3deb783e bf91a823 bfe848d0 3f800000 00000000 3d903386 3c9c7e08 3ea096db bf8e863e bfe4a5ba 3f800000 00000000 | bc7a27b4 3f7ff85d 00000000 1 bf852475 bffa64b2 3dc83ae6 be10df11 3d961c96 be2df7c1 be7f40db 0
